molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL57020,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](OCCN)[C@H](O)CO.O=C(O)C(F)(F)F,0.0075,active
CHEMBL300145,CCCCCCCCCCCCO[C@H]([C@H](O)CO)[C@@H]1OC(C(=O)O)=C[C@H](N=C(N)N)[C@H]1NC(C)=O.O=C(O)C(F)(F)F,0.0022,active
CHEMBL57652,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](OCCC1CCCCC1)[C@H](O)CO.O=C(O)C(F)(F)F,0.0019,active
CHEMBL57469,CCCCCCCCCCCCCCO[C@H]([C@H](O)CO)[C@@H]1OC(C(=O)O)=C[C@H](N=C(N)N)[C@H]1NC(C)=O.O=C(O)C(F)(F)F,0.011,active
CHEMBL56664,CCCCCCCCO[C@H](CC)[C@@H]1OC(C(=O)O)=C[C@H](N=C(N)N)[C@H]1NC(C)=O.O=C(O)C(F)(F)F,0.04,active
CHEMBL57651,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](OCCO)[C@H](O)CO.O=C(O)C(F)(F)F,0.0018,active
CHEMBL152644,Cc1nc(NCCc2cccc(N3CCCC3)c2)c2cc[nH]c2n1,23900.0,inactive
CHEMBL298834,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](N)[C@H](O)CO.O=C(O)C(F)(F)F,0.02,active
CHEMBL57127,CCC(=O)N[C@H]([C@H](O)CO)[C@@H]1OC(C(=O)O)=C[C@H](N=C(N)N)[C@H]1NC(C)=O.O=C(O)C(F)(F)F,0.004,active
CHEMBL56859,CCO[C@H]([C@H](O)CO)[C@@H]1OC(C(=O)O)=C[C@H](N=C(N)N)[C@H]1NC(C)=O.O=C(O)C(F)(F)F,0.0007,active
CHEMBL222813,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO,0.001,active
CHEMBL56658,CCCCCCCC(=O)N[C@H]([C@H](O)CO)[C@@H]1OC(C(=O)O)=C[C@H](N=C(N)N)[C@H]1NC(C)=O.O=C(O)C(F)(F)F,0.1,active
CHEMBL660,NC12CC3CC(CC(C3)C1)C2,1250.0,intermediate
CHEMBL355930,Cc1nc2nccc-2c(NCc2cccc(N(C)C)c2)[nH]1,18000.0,inactive
CHEMBL416320,CC(=O)N[C@@H]1[C@@H](N=C(N)N)C=C(C(=O)O)O[C@H]1C[C@H](O)CO.O=C(O)C(F)(F)F,0.01,active
CHEMBL57832,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1C(F)(F)[C@H](O)CO.O=C(O)C(F)(F)F,0.4,active
CHEMBL299915,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](N=[N+]=[N-])[C@H](O)CO.O=C(O)C(F)(F)F,0.0003,active
CHEMBL347425,Cc1nc(NCc2ccccc2)c2cc[nH]c2n1,100000.0,inactive
CHEMBL293938,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](F)[C@H](O)CO.O=C(O)C(F)(F)F,0.0018,active
CHEMBL422874,Cc1nc(NCCc2ccccc2)c2cc[nH]c2n1,38400.0,inactive
CHEMBL154604,Cc1nc(NCc2cccc(N3CCCC3)c2)c2cc[nH]c2n1,4800.0,intermediate
CHEMBL157174,Cc1nc(NCCc2cccc(N3CCCCC3)c2)c2cc[nH]c2n1,28600.0,inactive
CHEMBL264282,CCCCCCCCCCCCCCCC(=O)N[C@H]([C@H](O)CO)[C@@H]1OC(C(=O)O)=C[C@H](N=C(N)N)[C@H]1NC(C)=O.O=C(O)C(F)(F)F,0.08,active
